id,lat1,lon1,lat2,lon2,lat_center,lon_center,score_prix,score_hopitaux,score_practicien,score_metro,score_parking,score_final
310,45.702757,4.789455,45.705757,4.793955,45.704257,4.791705,0.39052511939999596,0,0.0,0.0,0.0,0.17183105253599823
311,45.702757,4.793955,45.705757,4.798455000000001,45.704257,4.7962050000000005,0.298535083274068,0,0.0,0.0,0.0,0.13135543664058993
313,45.702757,4.802955000000001,45.705757,4.807455000000001,45.704257,4.805205000000001,0.3864620191856637,1,0.0,0.0,0.0,0.390043288441692
314,45.702757,4.807455,45.705757,4.811955,45.704257,4.809705,0.43517241844714216,0,0.0,0.0,0.0,0.19147586411674256
315,45.702757,4.811955,45.705757,4.816455,45.704257,4.814205,0.431060309820927,0,0.0,0.0,0.0,0.1896665363212079
316,45.702757,4.816455,45.705757,4.8209550000000005,45.704257,4.8187050000000005,0.43687974386289996,0,0.0,0.0,0.0,0.192227087299676
317,45.702757,4.8209550000000005,45.705757,4.825455000000001,45.704257,4.823205000000001,0.6612092690426551,0,0.0,0.0,0.0,0.2909320783787683
318,45.702757,4.825455000000001,45.705757,4.829955000000001,45.704257,4.827705000000001,0.386805386259766,0,0.0,0.0,0.0,0.17019436995429704
324,45.702757,4.852455,45.705757,4.856955,45.704257,4.854705,0.40373949206254833,0,0.0,0.0,0.0,0.17764537650752124
325,45.702757,4.856955,45.705757,4.861455,45.704257,4.859205,0.5193067825038387,0,0.0,0.0,0.0,0.228494984301689
326,45.702757,4.861455,45.705757,4.8659550000000005,45.704257,4.863705,0.5369861905195664,0,0.0,0.0,0.0,0.23627392382860923
327,45.702757,4.8659550000000005,45.705757,4.870455000000001,45.704257,4.868205000000001,0.6802230460255925,0,0.0,0.0,0.0,0.2992981402512607
328,45.702757,4.870455000000001,45.705757,4.874955000000001,45.704257,4.872705000000001,0.394232487751289,0,0.0,0.0,0.0,0.17346229461056717
329,45.702757,4.874955,45.705757,4.879455,45.704257,4.877205,0.47980634688579465,0,0.0,0.0,0.0,0.21111479262974964
