valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,surface_terrain,longitude,latitude,prix_du_m_carre
100000.00,69440,Sainte-Catherine,Maison,83.00,290.00,4.5680770,45.5997130,1204.8192771084337
700000.00,69360,Ternay,Maison,200.00,800.00,4.8036600,45.5998410,3500.0
185000.00,69520,Grigny,Appartement,66.00,,4.7766640,45.5999280,2803.030303030303
315000.00,69440,Sainte-Catherine,Maison,101.00,400.00,4.5706280,45.6003030,3118.8118811881186
408000.00,69360,Communay,Maison,83.00,800.00,4.8316490,45.6003890,4915.6626506024095
440440.00,69360,Ternay,Maison,119.00,500.00,4.8129060,45.6004770,3701.176470588235
307950.00,69700,Givors,Maison,94.00,875.00,4.7622100,45.6006110,3276.063829787234
227500.00,69360,Communay,Appartement,75.00,,4.8331010,45.6007070,3033.3333333333335
136400.00,69520,Grigny,Appartement,51.00,,4.7801010,45.6008390,2674.5098039215686
536900.00,69360,Communay,Maison,87.00,694.00,4.8322710,45.6008610,6171.264367816092
482400.00,69360,Ternay,Maison,144.00,1054.00,4.8117600,45.6008680,3350.0
280000.00,69440,Sainte-Catherine,Appartement,112.00,600.00,4.5648150,45.6009730,2500.0
315000.00,69360,Ternay,Maison,103.00,896.00,4.8035230,45.6009910,3058.252427184466
317590.00,69360,Communay,Maison,90.00,195.00,4.8334440,45.6012020,3528.777777777778
376200.00,69590,Coise,Maison,168.00,646.00,4.4710810,45.6014010,2239.285714285714
481000.00,69360,Ternay,Appartement,93.00,779.00,4.8072060,45.6014580,5172.043010752688
164729.00,69360,Ternay,Maison,113.00,821.00,4.8095660,45.6017340,1457.7787610619469
325000.00,69360,Communay,Maison,130.00,402.00,4.8347160,45.6019720,2500.0
255600.00,69520,Grigny,Maison,180.00,464.00,4.7793240,45.6020680,1420.0
314000.00,69360,Ternay,Maison,78.00,675.00,4.8169780,45.6024790,4025.641025641026
610070.00,69360,Ternay,Maison,148.00,1000.00,4.8074840,45.6025350,4122.094594594595
238000.00,69520,Grigny,Maison,76.00,495.00,4.7789950,45.6025630,3131.5789473684213
402000.00,69440,Sainte-Catherine,Maison,98.00,993.00,4.5637640,45.6025900,4102.040816326531
461000.00,69360,Ternay,Maison,99.00,779.00,4.8154930,45.6029550,4656.565656565656
260000.00,69360,Communay,Maison,152.00,1087.00,4.8371100,45.6031630,1710.5263157894738
135000.00,69700,Beauvallon,Maison,52.00,420.00,4.7394660,45.6033050,2596.153846153846
199000.00,69700,Givors,Maison,69.00,,4.7668850,45.6034240,2884.057971014493
185000.00,69590,Larajasse,Maison,60.00,413.00,4.5217850,45.6036990,3083.3333333333335
299000.00,69700,Beauvallon,Maison,148.00,351.00,4.7397230,45.6037100,2020.2702702702702
273600.00,69360,Ternay,Maison,75.00,469.00,4.8131450,45.6038870,3648.0
172700.00,69360,Ternay,Appartement,64.00,,4.8182690,45.6041640,2698.4375
53000.00,69590,Larajasse,Maison,54.00,172.00,4.5242900,45.6042140,981.4814814814815
248850.00,69700,Givors,Appartement,155.00,,4.7580160,45.6042710,1605.483870967742
132500.00,69360,Ternay,Maison,93.00,622.00,4.8143800,45.6043790,1424.731182795699
180000.00,69520,Grigny,Maison,83.00,527.00,4.7755040,45.6044110,2168.6746987951806
250000.00,69700,Givors,Maison,82.00,477.00,4.7665410,45.6045220,3048.7804878048782
347000.00,69360,Ternay,Maison,80.00,495.00,4.8124710,45.6046360,4337.5
125000.00,69440,Chabanière,Maison,110.00,840.00,4.6318620,45.6047250,1136.3636363636363
366523.00,69360,Simandres,Maison,103.00,855.00,4.8665940,45.6047360,3558.4757281553398
120000.00,69360,Simandres,Maison,107.00,600.00,4.8662380,45.6047450,1121.4953271028037
267200.00,69360,Ternay,Maison,55.00,641.00,4.8160640,45.6048820,4858.181818181818
50000.00,69700,Givors,Maison,100.00,332.00,4.7596620,45.6049960,500.0
330000.00,69360,Communay,Maison,96.00,607.00,4.8213840,45.6052650,3437.5
157000.00,69360,Ternay,Maison,111.00,410.00,4.8199560,45.6056370,1414.4144144144145
276000.00,69700,Beauvallon,Maison,59.00,69.00,4.7314680,45.6061100,4677.966101694915
300640.00,69700,Beauvallon,Maison,99.00,120.00,4.7318580,45.6062020,3036.7676767676767
306000.00,69360,Simandres,Maison,115.00,423.00,4.8563230,45.6062060,2660.8695652173915
